"event_time","symbol","price_change","price_change_percent","side","change_percent_text","average_price","last_price","last_trade_volume","open_price","high_price","low_price","base_volume","quote_volume","stats_open_time","stats_close_time","first_trade_id","last_trade_id","trade_count","ingestion_time"
2025-11-27 20:50:16,"0GUSDT",0.0053,0.451,gainer,"0.45%",1.1908822,1.1804,19.0,1.1751,1.2146,1.1663,17213505,20499257.3554,2025-11-26 20:50:00,2025-11-27 20:50:16,146185282,146439838,254537,2025-11-27 20:50:17
2025-11-27 20:50:14,"1000000BOBUSDT",0.0006,2.209,gainer,"2.21%",0.0279081,0.02776,845.0,0.02716,0.02856,0.02714,31126456,868680.24468,2025-11-26 20:50:00,2025-11-27 20:50:14,39815967,39836006,20038,2025-11-27 20:50:15
2025-11-27 20:50:14,"1000000MOGUSDT",0.0459,17.191,gainer,"17.19%",0.304817,0.3129,32.1,0.267,0.3307,0.26,60185109.6,18345447.37681,2025-11-26 20:50:00,2025-11-27 20:50:14,81151570,81262875,111294,2025-11-27 20:50:15
2025-11-27 20:50:12,"1000BONKUSDT",0.000305,3.214,gainer,"3.21%",0.0098639,0.009795,7560.0,0.00949,0.010209,0.009381,5328976297,52564403.093976,2025-11-26 20:50:00,2025-11-27 20:50:12,865181533,865530669,349030,2025-11-27 20:50:13
2025-11-27 20:50:15,"1000CATUSDT",0.00016,4.76,gainer,"4.76%",0.0035285,0.003521,6422.0,0.003361,0.003609,0.003358,663716016,2341920.393119,2025-11-26 20:50:00,2025-11-27 20:50:15,104588336,104618570,30234,2025-11-27 20:50:16
